Item Code,Item Name,Principal,Brand,Transportation Cost
4501111007,Excel Care Dish Washing Liquid Lemon 2Liter with Toilet Cleaner 575ml (1x4pcs),Glamdust,Excel Care,Ton
4501111006,Excel Care Dish Washing Liquid Lemon 2Liter with Toilet Cleaner 575ml (1x5pcs),Glamdust,Excel Care,Ton
6001111002,Mr. Shine Liq Detergent Fresh Blossom 35ml (1x24pcsx20packs),Myat HtarNi,Mr. Shine,Ton
3202211002,May Yee Mon Chicken Congee 25g (1x10x20packs),Ya Thar Taw Win,May Yee Mon,Ton
0300000073,Brand's Berry Essence Concentrate 1.5oz (FOC) (1x1pcs),Suntory Beverage,BBE,Ton
0300000074,Brand's Prune Essence Concentrate 1.5oz (FOC) (1x1Pcs),Suntory Beverage,BPE,Ton
4000000003,Moshi Potato Chips Original 38g - MT Pack (1x12packs),Honesty,Moshi,3000
4000000004,Moshi Potato Chips Spicy 38g - MT Pack (1x12packs),Honesty,Moshi,3000
3202211001,May Yee Mon Chicken Congee 25g (1x10x15packs),Ya Thar Taw Win,May Yee Mon,Ton
4201111009,Phwer Htwe Pickeld Tea Leaves Classic 36g (1x10x30),Constellation,Phwer Htwe,Ton
4501122002,Excel Care Tile & Marble Shampoo 1000ml (1x15),Glamdust,Excel Care,Ton
4501122003,Excel Care Lime Scale Remover 5000ml (1x4pcs),Glamdust,Excel Care,Ton
4501151003,Excel Care Oven Cleaner 5000ml (1x4pcs),Glamdust,Excel Care,Ton
5001111031,May Kha Lar Preserved Mango Wet Spicy 80g (1x35),CMP Fruits Garden,May Kha Lar,Ton
5001111032,May Kha Lar Preserved Dried Plum Seedless Spicy 85g (1x35),CMP Fruits Garden,May Kha Lar,Ton
5001111033,May Kha Lar Preserved Special Steamed Plum 70g (1x35),CMP Fruits Garden,May Kha Lar,Ton
5001111034,May Kha Lar Preserved Plum Seedless Spicy Wet 100g (1x35),CMP Fruits Garden,May Kha Lar,Ton
5001111035,May Kha Lar Preserved Plum Seedless Sweet Wet 100g (1x35),CMP Fruits Garden,May Kha Lar,Ton
5001111036,May Kha Lar Preserved Special Marian Spicy 35g (1x35),CMP Fruits Garden,May Kha Lar,Ton
5001111037,May Kha Lar Preserved Golden Papaya 50g (1x35),CMP Fruits Garden,May Kha Lar,Ton
5001111038,May Kha Lar Preserved Damson Original 110g (1x20),CMP Fruits Garden,May Kha Lar,Ton
5001111039,May Kha Lar Preserved Mixed Fruits 60g (1x35),CMP Fruits Garden,May Kha Lar,Ton
4501131009,Excel Care Acidic Toilet Cleaner Colorless 1000ml (3x5pcs) on pack,Glamdust,Excel Care,Ton
4501131010,Excel Care Acidic Toilet Cleaner Magic Clean 1000ml (3x5pcs) on pack,Glamdust,Excel Care,Ton
4501122001,Excel Care Tile & Marble Shampoo 5000ml (1x4),Glamdust,Excel Care,Ton
3102111005,O'MaMa Mango Yogurt Cake Rusk 65g (1x72),O'Ma Ma,O'MaMa,Ton
4800000007,Pai Prawn Cracker 17g - MT Pack (1x12packs),Htoo Kaung Myat,Pai Snack,3000
4801111005,Pai Prawn Cracker 17g (1x10pcsx12packs),Htoo Kaung Myat,Pai Snack,3000
4501121003,Excel Care Disinfected Surface Cleaner Lavender 5000ml (1x4pcs),Glamdust,Excel Care,Ton
4501121004,Excel Care Disinfected Surface Cleaner Pine 5000ml (1x4pcs),Glamdust,Excel Care,Ton
4501141002,Excel Care Floor Cleaner Green Apple 5000ml (1x4pcs),Glamdust,Excel Care,Ton
4501131007,Excel Care Acidic Toilet Cleaner Colorless 5000ml (1x4pcs),Glamdust,Excel Care,Ton
4501131008,Excel Care Acidic Toilet Cleaner Magic Clean 5000ml (1x4pcs),Glamdust,Excel Care,Ton
5100000001,Zann Sunflower Seeds Salty 90g On Pack (1x5x23pcs),Royal Fantastic,Zann,Ton
5100000002,Zann Sunflower Seeds Salty 60g on pack (1x5x40Pcs),Royal Fantastic,Zann,Ton
5001111022,May Kha Lar Preserved Plum Seedless Sweet Wet 100g (1x5x35) on pack,CMP Fruits Garden,May Kha Lar,Ton
5001111023,May Kha Lar Preserved Plum Seedless Spicy Wet 100g (1x5x35) on pack,CMP Fruits Garden,May Kha Lar,Ton
