PickID,PickDate,Remark,VANCode,TotalWeight,Status,BranchCode,DocEntry,DocNum,CardCode,CardName,ItemCode,Description,Quantity,UoM,ItemWeight,WhsCode,U_DocNum
00120251204055350787,12/5/2025,SPT                 Inv;24,VO99037,152.53,C,001,5379222,8379221,C00152718,????????,4201111007,Phwer Htwe Pickled Tea Spicy 30g (1x30 Streamer),30,streamer,9.5,DC-YGN01,00120251204112556333
00120251204055350787,12/5/2025,SPT                 Inv;24,VO99037,152.53,C,001,5379223,8379222,C00131519,?????????,4201111007,Phwer Htwe Pickled Tea Spicy 30g (1x30 Streamer),30,streamer,9.5,DC-YGN01,00120251204112558150
00120251204055331843,12/5/2025,HTY SHOP-40,VO99063,172.61,C,001,5379224,8379223,C00135732,?????????????,4201111007,Phwer Htwe Pickled Tea Spicy 30g (1x30 Streamer),10,streamer,3.166667,DC-YGN01,00120251204112559390
00120251204055331843,12/5/2025,HTY SHOP-40,VO99063,172.61,C,001,5379227,8379226,C00125604,??????????????,4201111007,Phwer Htwe Pickled Tea Spicy 30g (1x30 Streamer),10,streamer,3.166667,DC-YGN01,00120251204112603490
00220251204030516657,12/5/2025,INV(27),VO99018,210.62,C,002,5379500,8379499,C00204639,??????????,4201111007,Phwer Htwe Pickled Tea Spicy 30g (1x30 Streamer),5,streamer,1.583333,WH-MDY01,00220251204014716270
01620251204041102773,12/5/2025,"Inv-14, Bago, WAW",VO99083,207.85,C,016,5379502,8379501,C01601251,Sky Waw,4201111007,Phwer Htwe Pickled Tea Spicy 30g (1x30 Streamer),5,streamer,1.583333,WH-BGO99,01620251204014727240
01620251204035823093,12/5/2025,"Inv-18, Bago, Thatnatpin, Minywar",VO99082,101.93,C,016,5379512,8379511,C01603856,?????,4201111007,Phwer Htwe Pickled Tea Spicy 30g (1x30 Streamer),1,streamer,0.316667,WH-BGO99,01620251204015932680
00220251204030516657,12/5/2025,INV(27),VO99018,210.62,C,002,5379509,8379508,C00200867,?????????,4201111007,Phwer Htwe Pickled Tea Spicy 30g (1x30 Streamer),5,streamer,1.583333,WH-MDY01,00220251204015919483
01620251204035823093,12/5/2025,"Inv-18, Bago, Thatnatpin, Minywar",VO99082,101.93,C,016,5379508,8379507,C01601751,?????,4201111007,Phwer Htwe Pickled Tea Spicy 30g (1x30 Streamer),30,streamer,9.5,WH-BGO99,01620251204015630647
01620251204035823093,12/5/2025,"Inv-18, Bago, Thatnatpin, Minywar",VO99082,101.93,C,016,5379517,8379516,C01600889,????????,4201111007,Phwer Htwe Pickled Tea Spicy 30g (1x30 Streamer),3,streamer,0.95,WH-BGO99,01620251204020234273
00120251204055411300,12/5/2025,INS                  Inv;41,VO99039,207.42,C,001,5379520,8379519,C00123139,????,4201111007,Phwer Htwe Pickled Tea Spicy 30g (1x30 Streamer),30,streamer,9.5,DC-YGN01,00120251204020830217
00120251204055312437,12/5/2025,HL/KMY                  Inv;21,VO99032,71.52,C,001,5379527,8379526,C00132440,????????,4201111007,Phwer Htwe Pickled Tea Spicy 30g (1x30 Streamer),5,streamer,1.583333,DC-YGN01,00120251204021135987
01620251204035823093,12/5/2025,"Inv-18, Bago, Thatnatpin, Minywar",VO99082,101.93,C,016,5379546,8379545,C01603842,?????????????,4201111007,Phwer Htwe Pickled Tea Spicy 30g (1x30 Streamer),2,streamer,0.633333,WH-BGO99,01620251204021744437
00120251204055425190,12/5/2025,S.DGN/SEIKKAN SHOP-26,VO99060,84.41,C,001,5379542,8379541,C00122565,????????,4201111007,Phwer Htwe Pickled Tea Spicy 30g (1x30 Streamer),30,streamer,9.5,DC-YGN01,00120251204021741470
00120251204055411300,12/5/2025,INS                  Inv;41,VO99039,207.42,C,001,5379461,8379460,C00103064,?????????,4201111007,Phwer Htwe Pickled Tea Spicy 30g (1x30 Streamer),5,streamer,1.583333,DC-YGN01,00120251204011654827
00120251204055333027,12/5/2025,MYG                Inv;23,VO99035,88.27,C,001,5379466,8379465,C00103521,Ko Thura Soe,4201111007,Phwer Htwe Pickled Tea Spicy 30g (1x30 Streamer),30,streamer,9.5,DC-YGN01,00120251204012901153
00220251204030516657,12/5/2025,INV(27),VO99018,210.62,C,002,5379481,8379480,C00216195,??????,4201111007,Phwer Htwe Pickled Tea Spicy 30g (1x30 Streamer),2,streamer,0.633333,WH-MDY01,00220251204013811307
00220251204030419380,12/5/2025,INV(12),VO99016,49.15,C,002,5379473,8379472,C00212196,??????????????????,4201111007,Phwer Htwe Pickled Tea Spicy 30g (1x30 Streamer),10,streamer,3.166667,WH-MDY01,00220251204013209490
01620251204041102773,12/5/2025,"Inv-14, Bago, WAW",VO99083,207.85,C,016,5379469,8379468,C01602111,???????,4201111007,Phwer Htwe Pickled Tea Spicy 30g (1x30 Streamer),30,streamer,9.5,WH-BGO99,01620251204012914230
00120251204055520713,12/5/2025,NOKL SHOP-44,VO99045,173.34,C,001,5379437,8379436,C00136028,?????????,4201111007,Phwer Htwe Pickled Tea Spicy 30g (1x30 Streamer),10,streamer,3.166667,DC-YGN01,00120251204125526500
01120251204025619813,12/5/2025,"TKS,PHM,Inv-15",VO99071,50.42,C,011,5379443,8379442,C01104420,????,4201111007,Phwer Htwe Pickled Tea Spicy 30g (1x30 Streamer),30,streamer,9.5,WH-MGW01,01120251204125909747
00120251204055331843,12/5/2025,HTY SHOP-40,VO99063,172.61,C,001,5379450,8379449,C00150753,?????,4201111007,Phwer Htwe Pickled Tea Spicy 30g (1x30 Streamer),5,streamer,1.583333,DC-YGN01,00120251204010739193
00120251204055425190,12/5/2025,S.DGN/SEIKKAN SHOP-26,VO99060,84.41,C,001,5379718,8379717,C00105309,?????????,4201111007,Phwer Htwe Pickled Tea Spicy 30g (1x30 Streamer),30,streamer,9.5,DC-YGN01,00120251204034110043
00120251204055234630,12/5/2025,TLN/KT SHOP-11,VO99113,43.87,C,001,5379713,8379712,C00800920,????????,4201111007,Phwer Htwe Pickled Tea Spicy 30g (1x30 Streamer),2,streamer,0.633333,DC-YGN01,00120251204033503643
00120251204055234630,12/5/2025,TLN/KT SHOP-11,VO99113,43.87,C,001,5379712,8379711,C00802085,??????????,4201111007,Phwer Htwe Pickled Tea Spicy 30g (1x30 Streamer),10,streamer,3.166667,DC-YGN01,00120251204033502360
00120251204055234630,12/5/2025,TLN/KT SHOP-11,VO99113,43.87,C,001,5379683,8379682,C00800182,?????????,4201111007,Phwer Htwe Pickled Tea Spicy 30g (1x30 Streamer),5,streamer,1.583333,DC-YGN01,00120251204031330473
00120251204055333027,12/5/2025,MYG                Inv;23,VO99035,88.27,C,001,5379708,8379707,C00142758,????????????,4201111007,Phwer Htwe Pickled Tea Spicy 30g (1x30 Streamer),2,streamer,0.633333,DC-YGN01,00120251204033200010
00120251204055234630,12/5/2025,TLN/KT SHOP-11,VO99113,43.87,C,001,5379704,8379703,C00800627,???????????,4201111007,Phwer Htwe Pickled Tea Spicy 30g (1x30 Streamer),5,streamer,1.583333,DC-YGN01,00120251204032857253
00120251204055312437,12/5/2025,HL/KMY                  Inv;21,VO99032,71.52,C,001,5379705,8379704,C00149825,??????????????,4201111007,Phwer Htwe Pickled Tea Spicy 30g (1x30 Streamer),2,streamer,0.633333,DC-YGN01,00120251204032858467
01620251204041102773,12/5/2025,"Inv-14, Bago, WAW",VO99083,207.85,C,016,5379707,8379706,C01603670,????????,4201111007,Phwer Htwe Pickled Tea Spicy 30g (1x30 Streamer),3,streamer,0.95,WH-BGO99,01620251204033005610
